"","values","method"
"163",1.27966332930891,"DML (XGBoost)"
"164",0.895723380158031,"DML (SVM)"
"165",1.11356528009438,"PSM"
"166",1.0342059289252,"AIPW"
"167",1.33460215430106,"DML (XGBoost)"
"168",0.976866481128336,"DML (SVM)"
"169",1.10609472195199,"PSM"
"170",1.05012641252653,"AIPW"
"171",1.42038875732171,"DML (XGBoost)"
"172",1.0773716462305,"DML (SVM)"
"173",0.968967410258009,"PSM"
"174",0.949986453901128,"AIPW"
"175",1.39099716953684,"DML (XGBoost)"
"176",1.02206975490606,"DML (SVM)"
"177",1.15995661249515,"PSM"
"178",1.1554132969506,"AIPW"
"179",1.57631885668111,"DML (XGBoost)"
"180",0.99198871796736,"DML (SVM)"
"181",1.159149982961,"PSM"
"182",1.14097686300894,"AIPW"
"183",1.50930988476095,"DML (XGBoost)"
"184",1.02051687401964,"DML (SVM)"
"185",1.19827538430444,"PSM"
"186",1.00844529140343,"AIPW"
"187",1.56667926695018,"DML (XGBoost)"
"188",1.06802819653885,"DML (SVM)"
"189",1.0225243934168,"PSM"
"190",0.98127485331915,"AIPW"
"191",1.37986937002836,"DML (XGBoost)"
"192",0.975060037509873,"DML (SVM)"
"193",1.14522961708648,"PSM"
"194",1.12320054155538,"AIPW"
"195",1.54194649082196,"DML (XGBoost)"
"196",1.0319902976493,"DML (SVM)"
"197",0.833659764836444,"PSM"
"198",0.918706064844497,"AIPW"
"199",1.34720906500211,"DML (XGBoost)"
"200",0.956427843207867,"DML (SVM)"
"201",1.0002987208175,"PSM"
"202",0.982269915454485,"AIPW"
"203",1.41066173013059,"DML (XGBoost)"
"204",1.00891892108578,"DML (SVM)"
"205",0.829892396117541,"PSM"
"206",0.883358226124184,"AIPW"
"207",1.4161493548536,"DML (XGBoost)"
"208",1.00184076361534,"DML (SVM)"
"209",1.16104151278063,"PSM"
"210",1.17428522290457,"AIPW"
"211",1.47069303376189,"DML (XGBoost)"
"212",0.985986089421762,"DML (SVM)"
"213",0.722895304303324,"PSM"
"214",0.823342842704792,"AIPW"
"215",1.34966057722677,"DML (XGBoost)"
"216",1.00593569847399,"DML (SVM)"
"217",0.916717927812881,"PSM"
"218",0.860961252634611,"AIPW"
"219",1.39545106662729,"DML (XGBoost)"
"220",0.963509879024558,"DML (SVM)"
"221",1.23238493833736,"PSM"
"222",1.14774868811973,"AIPW"
"223",1.44072399171305,"DML (XGBoost)"
"224",0.974751712865424,"DML (SVM)"
"225",1.10886941548733,"PSM"
"226",1.02797876908519,"AIPW"
"227",1.3864599868174,"DML (XGBoost)"
"228",0.891064389917992,"DML (SVM)"
"229",1.23133550752976,"PSM"
"230",1.14070713586874,"AIPW"
"231",1.60065886343255,"DML (XGBoost)"
"232",1.1613658831413,"DML (SVM)"
"233",0.772164810783923,"PSM"
"234",0.827874215908827,"AIPW"
"235",1.38585915200479,"DML (XGBoost)"
"236",0.916913895628277,"DML (SVM)"
"237",0.924488315864255,"PSM"
"238",0.86025030502673,"AIPW"
"239",1.29932189475771,"DML (XGBoost)"
"240",0.953169464611447,"DML (SVM)"
"241",1.09479162415692,"PSM"
"242",1.11804156012345,"AIPW"
"243",1.47861791604771,"DML (XGBoost)"
"244",1.07251242913265,"DML (SVM)"
"245",1.06865824430655,"PSM"
"246",1.16442375691871,"AIPW"
"247",1.60237705918239,"DML (XGBoost)"
"248",1.24671559196942,"DML (SVM)"
"249",0.989061280488074,"PSM"
"250",1.0940494436081,"AIPW"
"251",1.53207362208988,"DML (XGBoost)"
"252",0.978551580520068,"DML (SVM)"
"253",0.976436270598904,"PSM"
"254",1.05820404685999,"AIPW"
"255",1.3738060278014,"DML (XGBoost)"
"256",1.0283736664797,"DML (SVM)"
"257",1.09290688333645,"PSM"
"258",1.14944246166687,"AIPW"
"259",1.62811927107879,"DML (XGBoost)"
"260",1.24871903400097,"DML (SVM)"
"261",1.20824380886146,"PSM"
"262",1.20607244724143,"AIPW"
"263",1.47162175880801,"DML (XGBoost)"
"264",1.0547678629028,"DML (SVM)"
"265",1.27167712596164,"PSM"
