"","values","method"
"163",1.46435255757792,"DML (XGBoost)"
"164",1.0452584727708,"DML (SVM)"
"165",1.73399186101119,"PSM"
"166",1.7443284195765,"AIPW"
"167",1.49160396145781,"DML (XGBoost)"
"168",1.0116516101911,"DML (SVM)"
"169",1.85672848604005,"PSM"
"170",1.75709754057279,"AIPW"
"171",1.39336198282019,"DML (XGBoost)"
"172",0.926078299986787,"DML (SVM)"
"173",1.758481419919,"PSM"
"174",1.7651094327163,"AIPW"
"175",1.40984448721769,"DML (XGBoost)"
"176",0.964349213156367,"DML (SVM)"
"177",1.93050857986372,"PSM"
"178",2.00583320052725,"AIPW"
"179",1.53980622344074,"DML (XGBoost)"
"180",1.1402743545792,"DML (SVM)"
"181",1.67399364808121,"PSM"
"182",1.70250680124882,"AIPW"
"183",1.37354879446873,"DML (XGBoost)"
"184",0.957304190519102,"DML (SVM)"
"185",1.88211858851981,"PSM"
"186",1.83772228679416,"AIPW"
"187",1.40433033790309,"DML (XGBoost)"
"188",0.966390392752291,"DML (SVM)"
"189",1.68319851371384,"PSM"
"190",1.68231349190244,"AIPW"
"191",1.27088120511688,"DML (XGBoost)"
"192",0.793739980426658,"DML (SVM)"
"193",1.73376113053487,"PSM"
"194",1.8363730190659,"AIPW"
"195",1.45836240319342,"DML (XGBoost)"
"196",0.945808663704644,"DML (SVM)"
"197",1.8722353499346,"PSM"
"198",1.9422251844988,"AIPW"
"199",1.42516423926636,"DML (XGBoost)"
"200",0.926141650964897,"DML (SVM)"
"201",1.97932916781305,"PSM"
"202",1.99060607733787,"AIPW"
"203",1.54990050907128,"DML (XGBoost)"
"204",1.05742389590704,"DML (SVM)"
"205",1.68035174626663,"PSM"
"206",1.73863590748378,"AIPW"
"207",1.37985308787807,"DML (XGBoost)"
"208",0.973038084661602,"DML (SVM)"
"209",1.58511309898736,"PSM"
"210",1.75156147479459,"AIPW"
"211",1.22260979174995,"DML (XGBoost)"
"212",0.944096525164021,"DML (SVM)"
"213",1.91555450283481,"PSM"
"214",1.80602855378376,"AIPW"
"215",1.49397550183332,"DML (XGBoost)"
"216",1.02336999315555,"DML (SVM)"
"217",1.62145454559644,"PSM"
"218",1.70536061230115,"AIPW"
"219",1.31099511251962,"DML (XGBoost)"
"220",1.00577683808043,"DML (SVM)"
"221",1.78427353209805,"PSM"
"222",1.82521106374914,"AIPW"
"223",1.37400042936321,"DML (XGBoost)"
"224",0.959654526181792,"DML (SVM)"
"225",1.68343320073116,"PSM"
"226",1.71929207806511,"AIPW"
"227",1.32459198068949,"DML (XGBoost)"
"228",0.968635109339487,"DML (SVM)"
"229",1.82331578505618,"PSM"
"230",1.83062277647532,"AIPW"
"231",1.44348934695004,"DML (XGBoost)"
"232",1.00133301820253,"DML (SVM)"
"233",1.87530793955859,"PSM"
"234",1.75286823175435,"AIPW"
"235",1.42443589204423,"DML (XGBoost)"
"236",0.94772912427241,"DML (SVM)"
"237",1.54837651198957,"PSM"
"238",1.68330119394089,"AIPW"
"239",1.27370427031176,"DML (XGBoost)"
"240",0.930780751716828,"DML (SVM)"
"241",1.73932838977804,"PSM"
"242",1.73896515217989,"AIPW"
"243",1.3338886365175,"DML (XGBoost)"
"244",0.898981445216219,"DML (SVM)"
"245",2.15372215728647,"PSM"
"246",1.95785985515473,"AIPW"
"247",1.50271905211565,"DML (XGBoost)"
"248",1.18679953076734,"DML (SVM)"
"249",1.61853680417314,"PSM"
"250",1.62092500890513,"AIPW"
"251",1.27229669940251,"DML (XGBoost)"
"252",0.894199877021367,"DML (SVM)"
"253",1.86221234080385,"PSM"
"254",1.7916881471836,"AIPW"
"255",1.45416279774817,"DML (XGBoost)"
"256",1.03139326530937,"DML (SVM)"
"257",1.80895730813999,"PSM"
"258",1.67321379142046,"AIPW"
"259",1.39427228175999,"DML (XGBoost)"
"260",1.06347817615998,"DML (SVM)"
"261",1.74791346282185,"PSM"
"262",1.77759714562661,"AIPW"
"263",1.49007784513517,"DML (XGBoost)"
"264",0.979483956790586,"DML (SVM)"
"265",1.71679492788163,"PSM"
"266",1.72445999849234,"AIPW"
"267",1.330457148888,"DML (XGBoost)"
"268",0.977221423655598,"DML (SVM)"
"269",1.97289144138293,"PSM"
"270",1.94575697060118,"AIPW"
"271",1.55390381037032,"DML (XGBoost)"
"272",1.02822835256527,"DML (SVM)"
"273",1.63053108707153,"PSM"
"274",1.68331561909037,"AIPW"
"275",1.28920744240148,"DML (XGBoost)"
"276",0.948345709545225,"DML (SVM)"
"277",1.78244775467034,"PSM"
"278",1.80926291177849,"AIPW"
"279",1.4588947450165,"DML (XGBoost)"
"280",0.950684349728094,"DML (SVM)"
"281",1.68895048829773,"PSM"
"282",1.77885896912036,"AIPW"
"283",1.37618550495463,"DML (XGBoost)"
"284",1.00250307354085,"DML (SVM)"
"285",1.56723164367009,"PSM"
"286",1.71614529945176,"AIPW"
"287",1.31536132186374,"DML (XGBoost)"
"288",0.881138379157372,"DML (SVM)"
"289",1.79498109763032,"PSM"
"290",1.65065259803002,"AIPW"
"291",1.27429199301389,"DML (XGBoost)"
"292",0.961293876619356,"DML (SVM)"
"293",1.67889282518878,"PSM"
"294",1.69515395677144,"AIPW"
"295",1.38195294172112,"DML (XGBoost)"
"296",0.992089426447508,"DML (SVM)"
"297",1.86590359487489,"PSM"
"298",1.84784877438234,"AIPW"
