"","values","method"
"162",0.977502038874699,"AIPW"
"163",1.45383439582477,"DML (XGBoost)"
"164",0.949702522291526,"DML (SVM)"
"165",1.04772010978954,"PSM"
"166",1.02342094741137,"AIPW"
"167",1.56620345248367,"DML (XGBoost)"
"168",1.09824761258613,"DML (SVM)"
"169",1.21876552726864,"PSM"
"170",1.13571867514474,"AIPW"
"171",1.41277579850912,"DML (XGBoost)"
"172",0.965277899132021,"DML (SVM)"
"173",0.913695481439178,"PSM"
"174",0.939019231165152,"AIPW"
"175",1.39983309588408,"DML (XGBoost)"
"176",0.888371140948054,"DML (SVM)"
"177",0.523960489337974,"PSM"
"178",0.801452425822013,"AIPW"
"179",1.24491620801957,"DML (XGBoost)"
"180",0.851085851487938,"DML (SVM)"
"181",0.980002661903079,"PSM"
"182",1.07477752262965,"AIPW"
"183",1.43853548716858,"DML (XGBoost)"
"184",0.994975172227489,"DML (SVM)"
"185",0.95325739800101,"PSM"
"186",1.15420427410611,"AIPW"
"187",1.43655302986366,"DML (XGBoost)"
"188",1.05055219233767,"DML (SVM)"
"189",0.936309881923371,"PSM"
"190",1.03512052247292,"AIPW"
"191",1.3584458839805,"DML (XGBoost)"
"192",0.93157026798689,"DML (SVM)"
"193",0.847340889069914,"PSM"
"194",1.0279574593284,"AIPW"
"195",1.37013913412339,"DML (XGBoost)"
"196",0.955152210535875,"DML (SVM)"
"197",1.01881699500332,"PSM"
"198",1.07317461732865,"AIPW"
"199",1.41910838781815,"DML (XGBoost)"
"200",1.02356333218095,"DML (SVM)"
"201",1.12147906496193,"PSM"
"202",0.909283739958963,"AIPW"
"203",1.51259666473287,"DML (XGBoost)"
"204",0.996624635316594,"DML (SVM)"
"205",1.07822467587001,"PSM"
"206",1.01581614204225,"AIPW"
"207",1.37464375847758,"DML (XGBoost)"
"208",0.967845020046063,"DML (SVM)"
"209",1.26974581666922,"PSM"
"210",1.14212361624713,"AIPW"
"211",1.4580758212544,"DML (XGBoost)"
"212",1.09272017286335,"DML (SVM)"
"213",0.997092966531149,"PSM"
"214",0.958153531532496,"AIPW"
"215",1.29009439085567,"DML (XGBoost)"
"216",0.92233099006544,"DML (SVM)"
"217",1.14809156260709,"PSM"
"218",0.808189134503216,"AIPW"
"219",1.41017607138629,"DML (XGBoost)"
"220",1.04778928404781,"DML (SVM)"
"221",1.1875183812453,"PSM"
"222",1.06531334190548,"AIPW"
"223",1.40276346191541,"DML (XGBoost)"
"224",1.09783371302471,"DML (SVM)"
"225",0.967373036276141,"PSM"
"226",0.969879295291239,"AIPW"
"227",1.46821545206192,"DML (XGBoost)"
"228",0.957451552829157,"DML (SVM)"
"229",0.982845124448019,"PSM"
"230",1.03796649704749,"AIPW"
"231",1.4145307090141,"DML (XGBoost)"
"232",0.935333421170404,"DML (SVM)"
