"","values","method"
"163",1.29777601000467,"DML (XGBoost)"
"164",0.9581766409211,"DML (SVM)"
"165",1.79856335266953,"PSM"
"166",0.961559923040848,"AIPW"
"167",1.47946529440231,"DML (XGBoost)"
"168",0.982598430560895,"DML (SVM)"
"169",1.71013039381399,"PSM"
"170",1.05401155299128,"AIPW"
"171",1.40504806498948,"DML (XGBoost)"
"172",1.09472298785954,"DML (SVM)"
"173",1.87251892227661,"PSM"
"174",1.08198415500948,"AIPW"
"175",1.49859116983089,"DML (XGBoost)"
"176",1.05812556184905,"DML (SVM)"
"177",1.97297330174619,"PSM"
"178",1.2054470786778,"AIPW"
"179",1.59091868985125,"DML (XGBoost)"
"180",1.09675106147856,"DML (SVM)"
"181",1.81772459413336,"PSM"
"182",0.98041181955385,"AIPW"
"183",1.44502647592815,"DML (XGBoost)"
"184",0.900861913751173,"DML (SVM)"
"185",1.74333419169531,"PSM"
"186",0.859812010583433,"AIPW"
"187",1.46327254411862,"DML (XGBoost)"
"188",1.04266211465998,"DML (SVM)"
"189",1.75381818315333,"PSM"
"190",1.09168667074695,"AIPW"
"191",1.4281864478405,"DML (XGBoost)"
"192",0.960839866407794,"DML (SVM)"
"193",1.69093752406981,"PSM"
"194",0.876790714768881,"AIPW"
"195",1.31395745992443,"DML (XGBoost)"
"196",0.934851540813538,"DML (SVM)"
"197",1.89299177418268,"PSM"
"198",1.06137208065982,"AIPW"
"199",1.48382273126824,"DML (XGBoost)"
"200",1.02277901462288,"DML (SVM)"
"201",2.00714266884517,"PSM"
"202",1.18091866557755,"AIPW"
"203",1.53315162427054,"DML (XGBoost)"
"204",1.15164616958963,"DML (SVM)"
"205",1.74192603636479,"PSM"
"206",0.978255895865832,"AIPW"
"207",1.43270872117223,"DML (XGBoost)"
"208",0.959254477763321,"DML (SVM)"
"209",1.82252919021048,"PSM"
"210",0.976437119564811,"AIPW"
"211",1.51298555946778,"DML (XGBoost)"
"212",1.09773496835718,"DML (SVM)"
"213",1.67433320783952,"PSM"
"214",0.932815932707097,"AIPW"
"215",1.43146036415745,"DML (XGBoost)"
"216",0.990550870592318,"DML (SVM)"
"217",1.734613002091,"PSM"
"218",0.914690536732368,"AIPW"
"219",1.33888818176553,"DML (XGBoost)"
"220",0.989947908542955,"DML (SVM)"
"221",1.79643559511491,"PSM"
"222",0.946405953123597,"AIPW"
"223",1.46909075145968,"DML (XGBoost)"
"224",0.86191232111013,"DML (SVM)"
"225",1.7724906704971,"PSM"
"226",0.950910576384011,"AIPW"
"227",1.41153339235709,"DML (XGBoost)"
"228",0.988712856306715,"DML (SVM)"
"229",1.81286523188317,"PSM"
"230",1.02527912025618,"AIPW"
"231",1.45734553310641,"DML (XGBoost)"
"232",1.04003676574069,"DML (SVM)"
"233",1.57827990181467,"PSM"
"234",0.859611133594667,"AIPW"
"235",1.36222246945601,"DML (XGBoost)"
"236",0.965233573654802,"DML (SVM)"
"237",1.82367718954846,"PSM"
"238",0.995845563296302,"AIPW"
"239",1.41671900881066,"DML (XGBoost)"
"240",1.10870375950735,"DML (SVM)"
"241",1.73009438412186,"PSM"
"242",0.958626334182781,"AIPW"
"243",1.31200549645507,"DML (XGBoost)"
"244",0.986098943616714,"DML (SVM)"
"245",1.66435959968073,"PSM"
"246",0.868596682513674,"AIPW"
"247",1.33383422931217,"DML (XGBoost)"
"248",0.919913735079242,"DML (SVM)"
"249",1.60341800320444,"PSM"
"250",0.871755427062924,"AIPW"
"251",1.33284646465368,"DML (XGBoost)"
"252",0.921738857760219,"DML (SVM)"
"253",1.72889453893449,"PSM"
"254",0.994945568387612,"AIPW"
"255",1.42029668056286,"DML (XGBoost)"
"256",0.965431035624549,"DML (SVM)"
"257",1.65102338832667,"PSM"
"258",0.941678354590772,"AIPW"
"259",1.31856459425517,"DML (XGBoost)"
"260",0.951556174718961,"DML (SVM)"
"261",1.88445846162918,"PSM"
"262",1.12071272035529,"AIPW"
"263",1.50156724939171,"DML (XGBoost)"
"264",1.04017486691679,"DML (SVM)"
"265",1.85187290276435,"PSM"
"266",1.0288523314968,"AIPW"
"267",1.43295409586641,"DML (XGBoost)"
"268",1.03930060623784,"DML (SVM)"
"269",1.8955393630721,"PSM"
"270",1.10189834740079,"AIPW"
"271",1.51197591242274,"DML (XGBoost)"
"272",1.07854972014244,"DML (SVM)"
